"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.03.2023","1.901,6","1.924,0","1.924,0","1.888,4","304,84K","-0,82%"
"30.03.2023","1.917,4","1.919,6","1.926,4","1.911,0","230,39K","-0,11%"
"29.03.2023","1.919,6","1.932,4","1.936,8","1.907,0","271,67K","-0,52%"
"28.03.2023","1.929,6","1.923,6","1.947,0","1.920,8","353,81K","0,52%"
"27.03.2023","1.919,6","1.888,4","1.920,0","1.888,4","370,71K","1,76%"
"24.03.2023","1.886,4","1.905,0","1.909,0","1.880,0","183,60K","-0,82%"
"23.03.2023","1.902,0","1.886,2","1.907,6","1.885,2","264,22K","0,75%"
"22.03.2023","1.887,8","1.885,0","1.903,4","1.866,6","368,75K","0,01%"
"21.03.2023","1.887,6","1.915,0","1.920,0","1.866,0","464,58K","-1,17%"
"20.03.2023","1.910,0","1.900,0","1.915,0","1.881,0","666,19K","0,63%"
"17.03.2023","1.898,0","1.859,8","1.899,2","1.847,2","674,29K","2,54%"
"16.03.2023","1.851,0","1.855,0","1.882,0","1.812,0","1,27M","-0,71%"
"15.03.2023","1.864,2","1.906,8","1.910,8","1.860,0","544,15K","-1,95%"
"14.03.2023","1.901,2","1.912,2","1.913,8","1.886,0","384,09K","-0,33%"
"13.03.2023","1.907,4","1.919,4","1.939,6","1.880,4","680,35K","-0,50%"
"10.03.2023","1.917,0","1.933,8","1.940,0","1.911,0","481,03K","-1,29%"
"09.03.2023","1.942,0","1.962,0","1.970,4","1.935,4","465,67K","-1,01%"
